LiCl
WCl6
TbCl3
HfF4
GeBr4
SF6
OF2
MnF2
AgF
PuCl3
NdI2
ScF3
VCl4
IF7
TeI4
SbBr3
ZrCl2
ZrCl4
XeF6
XeF4
XeF2
VF5
VF3
VCl5
VCl4
VCl2
UI4
UI3
UF6
UF5
UF4
UF3
UCl6
UCl3
UBr4
UBr3
TlCl2
TlCl
TlBr
Tl2Cl3
TiI4
TiCl4
TiBr4
ThI4
ThF4
ThCl4
ThBr4
TeI4
TeF6
TeF4
PtF6
PtF5
PaCl5
PaBr5
OsF6
OsF5
